--- FAILURE SIGNATURES ---
22:2026-07-20T00:17:09.3018431Z [36;1mif (semantic.official_primary_capture_fraction < 0.3) throw new Error('Official capture ratio remains below 30%');[0m
23:2026-07-20T00:17:09.3019252Z [36;1mif (semantic.maximum_uninterrupted_evidence_seconds > 16) throw new Error('Evidence run remains above 16 seconds');[0m
24:2026-07-20T00:17:09.3020577Z [36;1mif (manifest.proof?.production_plan_sha256 !== approval.production_plan_sha256) throw new Error('Manifest and proof approval plan hashes differ');[0m
842:2026-07-20T00:17:09.5715776Z         "editorial_purpose": "Return to a different moment of the same review scene to interrupt a long run of screenshots.",
2026-07-20T00:17:09.6434410Z         "claim_id": "CLM_020_SYSTEMIC_INCENTIVE_FINAL",
2026-07-20T00:17:09.6434520Z         "generic_stock": false,
2026-07-20T00:17:09.6434634Z         "transition_in": "cut",
2026-07-20T00:17:09.6434753Z         "transition_out": "cut",
2026-07-20T00:17:09.6434850Z         "text_overlay": null,
2026-07-20T00:17:09.6434945Z         "sound_cue": null,
2026-07-20T00:17:09.6435177Z         "emphasis_card": null,
2026-07-20T00:17:09.6435295Z         "editorial_overlay": null,
2026-07-20T00:17:09.6435414Z         "asset_type": "evidence",
2026-07-20T00:17:09.6435534Z         "visual_role": "evidence",
2026-07-20T00:17:09.6436389Z         "editorial_purpose": "Reframe the danger as systemic incentive rather than a rogue machine, and state the real, harder challenge. Anchor the narration to an attributed source-derived visual before any metaphorical treatment.",
2026-07-20T00:17:09.6436486Z         "evidence": {
2026-07-20T00:17:09.6436605Z           "kind": "evidence_chain",
2026-07-20T00:17:09.6436749Z           "eyebrow": "SOURCE-BACKED EVIDENCE",
2026-07-20T00:17:09.6437154Z           "title": "The final paradox is an editorial synthesis: competition is measurable, safet…",
2026-07-20T00:17:09.6437607Z           "subtitle": "Reframe the danger as systemic incentive rather than a rogue machine, and state the real, harder challenge.",
2026-07-20T00:17:09.6438542Z           "source_label": "Stanford Institute for Human-Centered Artificial Intelligence · 2025  |  Stanford Institute for Human-Centered Artificial Intelligence · 2025  |  Anthropic · 2024  |  Google DeepMind · 2025",
2026-07-20T00:17:09.6438635Z           "source_ids": [
2026-07-20T00:17:09.6438782Z             "SRC_STANFORD_AI_INDEX_2025_ECONOMY",
2026-07-20T00:17:09.6438930Z             "SRC_STANFORD_AI_INDEX_2025_TECHNICAL",
2026-07-20T00:17:09.6439058Z             "SRC_ANTHROPIC_RSP_2024",
2026-07-20T00:17:09.6439176Z             "SRC_DEEPMIND_FSF_2025"
2026-07-20T00:17:09.6439261Z           ],
2026-07-20T00:17:09.6439896Z           "limitation": "Investment levels show the scale of competition; they do not directly prove that every investor rewards speed over caution.",
2026-07-20T00:17:09.6440001Z           "font_px": 32,
2026-07-20T00:17:09.6440091Z           "steps": [
2026-07-20T00:17:09.6440364Z             "Build the conclusion only from evidence already shown…",
2026-07-20T00:17:09.6440619Z             "Label the frame as ORVYQ synthesis rather than a new…",
2026-07-20T00:17:09.6440868Z             "Do not imply the cited sources independently endorse…"
2026-07-20T00:17:09.6440954Z           ],
2026-07-20T00:17:09.6441110Z           "provenance_mode": "source_derived_graphic"
2026-07-20T00:17:09.6441195Z         },
2026-07-20T00:17:09.6441401Z         "motif": "CLM_020_SYSTEMIC_INCENTIVE_FINAL:evidence_chain:3"
2026-07-20T00:17:09.6441488Z       },
2026-07-20T00:17:09.6441573Z       {
2026-07-20T00:17:09.6441693Z         "shot_id": "shot_130",
2026-07-20T00:17:09.6441804Z         "scene_id": "scene_033",
2026-07-20T00:17:09.6441944Z         "section_id": "SEC_09_FINAL_PARADOX",
2026-07-20T00:17:09.6442041Z         "start_frame": 22197,
2026-07-20T00:17:09.6442131Z         "end_frame": 22376,
2026-07-20T00:17:09.6442293Z         "claim_id": "CLM_020_SYSTEMIC_INCENTIVE_FINAL",
2026-07-20T00:17:09.6442408Z         "generic_stock": false,
2026-07-20T00:17:09.6442519Z         "transition_in": "cut",
2026-07-20T00:17:09.6442645Z         "transition_out": "fade",
2026-07-20T00:17:09.6442744Z         "text_overlay": null,
2026-07-20T00:17:09.6442835Z         "sound_cue": null,
2026-07-20T00:17:09.6442954Z         "emphasis_card": null,
2026-07-20T00:17:09.6443076Z         "editorial_overlay": null,
2026-07-20T00:17:09.6443190Z         "asset_type": "graphic",
2026-07-20T00:17:09.6443309Z         "visual_role": "graphic",
2026-07-20T00:17:09.6443854Z         "editorial_purpose": "Resolve the documentary on human agency and return the visual system to the ORVYQ brand.",
2026-07-20T00:17:09.6443944Z         "graphic": {
2026-07-20T00:17:09.6444060Z           "type": "brand_close",
2026-07-20T00:17:09.6444161Z           "kicker": "ORVYQ",
2026-07-20T00:17:09.6444287Z           "title": "THE RACE IS A CHOICE",
2026-07-20T00:17:09.6444565Z           "subtitle": "Capability moves quickly. Governance is still a human decision."
2026-07-20T00:17:09.6444647Z         },
2026-07-20T00:17:09.6444794Z         "motif": "orvyq_close"
2026-07-20T00:17:09.6445005Z       }
2026-07-20T00:17:09.6445091Z     ],
2026-07-20T00:17:09.6445311Z     "narration_timeline_asset": "direction/narration_timeline.json",
2026-07-20T00:17:09.6445437Z     "canonical_timeline_contract": {
2026-07-20T00:17:09.6445623Z       "schema_version": "1.0-canonical-timeline-contract",
2026-07-20T00:17:09.6445825Z       "project_id": "001-the-ai-race-no-one-can-afford-to-win",
2026-07-20T00:17:09.6445974Z       "generated_at": "2026-07-20T00:17:09.400Z",
2026-07-20T00:17:09.6446153Z       "timeline_ref": "direction/narration_timeline.json",
2026-07-20T00:17:09.6446282Z       "canonical_duration_frames": 22376,
2026-07-20T00:17:09.6446425Z       "semantic_proof_output_seconds": 157.82,
2026-07-20T00:17:09.6446554Z       "terminal_brand_shot": "shot_130",
2026-07-20T00:17:09.6446641Z       "issues": [],
2026-07-20T00:17:09.6446731Z       "valid": true,
2026-07-20T00:17:09.6446824Z       "pass": true
2026-07-20T00:17:09.6446901Z     }
2026-07-20T00:17:09.6446987Z   }
2026-07-20T00:17:09.6447074Z }
2026-07-20T00:17:09.6448046Z {"ok":false,"error":"ENOENT: no such file or directory, open '/home/runner/work/YouTube_pepline/YouTube_pepline/projects/001-the-ai-race-no-one-can-afford-to-win/assets/audio/final_mix.metadata.json'"}
2026-07-20T00:17:09.6459361Z ##[error]Process completed with exit code 1.
